settlement_id,order_id,match_type,matched_bank_txn_ids,confidence,amount_diff,notes
SETL5100,ORD1078_CASHBACK,exact_id,BANK9094,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5002,ORD1002,fuzzy_amount_date,BANK9002,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5007,ORD1006,fuzzy_amount_date,BANK9007,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5009,ORD1008,fuzzy_amount_date,BANK9009,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5023,ORD1020,fuzzy_amount_date,BANK9021,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5029,ORD1025,fuzzy_amount_date,BANK9026,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5032,ORD1027,fuzzy_amount_date,BANK9028,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5055,ORD1046,fuzzy_amount_date,BANK9050,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5066,ORD1056,fuzzy_amount_date,BANK9061,1.0,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ0d).
SETL5010,ORD1009,fuzzy_amount_date,BANK9010,0.93,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ1d).
SETL5050,ORD1042,fuzzy_amount_date,BANK9047,0.93,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ1d).
SETL5056,ORD1047,fuzzy_amount_date,BANK9051,0.93,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ1d).
SETL5062,ORD1052,fuzzy_amount_date,BANK9057,0.93,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ1d).
SETL5085,ORD1070,fuzzy_amount_date,BANK9080,0.93,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ1d).
SETL5017,ORD1015,fuzzy_amount_date,BANK9016,0.92,2.5,No usable ID in narration; matched on amount (Δ₹2.50) and date (Δ0d).
SETL5052,ORD1043,fuzzy_amount_date,BANK9048,0.9,1.1,No usable ID in narration; matched on amount (Δ₹1.10) and date (Δ1d).
SETL5073,ORD1061,fuzzy_amount_date,BANK9068,0.88,1.75,No usable ID in narration; matched on amount (Δ₹1.75) and date (Δ1d).
SETL5020,ORD1017,fuzzy_amount_date,BANK9018,0.87,2.0,No usable ID in narration; matched on amount (Δ₹2.00) and date (Δ1d).
SETL5005,ORD1004,exact_id,BANK9004,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5039,ORD1032,exact_id,BANK9035,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5044,ORD1036,exact_id,BANK9040,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5051,ORD1042,exact_id,BANK9046,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5058,ORD1048,exact_id,BANK9052,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5069,ORD1057,exact_id,BANK9062,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5083,ORD1068,exact_id,BANK9076,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5087,ORD1071_REFUND,exact_id,BANK9082,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5089,ORD1072_MULTI_REFUND,exact_id,BANK9084,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5090,ORD1072_MULTI_REFUND,exact_id,BANK9085,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5092,ORD1073_CHARGEBACK,exact_id,BANK9087,0.99,0.0,Order ID found in bank narration; amount and date within tolerance.
SETL5034,ORD1028,fuzzy_amount_date,BANK9029,0.96,1.25,No usable ID in narration; matched on amount (Δ₹1.25) and date (Δ0d).
SETL5074,ORD1061,fuzzy_amount_date,BANK9067,0.87,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ2d).
SETL5077,ORD1063,fuzzy_amount_date,BANK9070,0.87,0.0,No usable ID in narration; matched on amount (Δ₹0.00) and date (Δ2d).
SETL5093,ORD1074_ADJUSTMENT,lifecycle_adjustment,BANK9088,0.98,0.0,"Evidenced lifecycle group (SETL5093+SETL5094): base settlement; ₹5000.00 + adjustments = ₹4500.00, matching bank credit."
SETL5094,ORD1074_ADJUSTMENT,lifecycle_adjustment,BANK9088,0.98,0.0,"Evidenced lifecycle group (SETL5093+SETL5094): settlement adjustment; ₹5000.00 + adjustments = ₹4500.00, matching bank credit."
